Mapping-Code;Mapping-Code-REXEL;Mapping-Code-VRG
1/10/1;MAC;MAC
1/10/10;MAC;MAC
1/10/11;MAC;MAC
1/10/12;MAC;MAC
1/10/13;MAC;MAC
1/10/14;MAC;MAC
1/10/15;MAC;MAC
1/10/16;MAC;MAC
1/10/2;MAC;MAC
1/10/20;MAC;MAC
1/10/21;MAC;MAC
1/10/3;MAC;MAC
1/10/4;MAC;MAC
1/10/5;MAC;MAC
1/10/6;MAC;MAC
1/10/7;MAC;MAC
1/10/8;MAC;MAC
1/10/9;MAC;MAC
1/20/1;PC;PC
1/20/10;PC;PC
1/20/11;PC;PC
1/20/12;PC;PC
1/20/13;PC;PC
1/20/14;PC;PC
1/20/15;PC;PC
1/20/16;PC;PC
1/20/17;PC;PC
1/20/2;PC;PC
1/20/3;PC;PC
1/20/4;PC;PC
1/20/5;PC;PC
1/20/6;PC;PC
1/20/7;PC;PC
1/20/8;PC;PC
1/20/9;PC;PC
1/40/1;SH;SH
1/40/10;SH;SH
1/40/11;SH;SH
1/40/12;SH;SH
1/40/13;SH;SH
1/40/14;SH;SH
1/40/15;SH;SH
1/40/16;SH;SH
1/40/2;SH;SH
1/40/3;SH;SH
1/40/4;SH;SH
1/40/5;SH;SH
1/40/6;SH;SH
1/40/7;SH;SH
1/40/8;SH;SH
1/40/9;SH;SH
1/50/1;FC;FC
1/50/10;FC;FC
1/50/11;FC;FC
1/50/12;FC;FC
1/50/13;FC;FC
1/50/14;FC;FC
1/50/15;FC;FC
1/50/16;FC;FC
1/50/2;FC;FC
1/50/3;FC;FC
1/50/4;FC;FC
1/50/5;FC;FC
1/50/6;FC;FC
1/50/7;FC;FC
1/50/8;FC;FC
1/50/9;FC;FC
2/10/10;MC;MC
2/10/20;MC;MC
2/10/25;MC;MC
2/10/30;MC;MC
2/10/35;MC;MC
2/10/40;MC;MC
2/10/50;MC;MC
2/10/60;MC;MC
2/10/70;MC;MC
2/10/80;MC;CAJ
2/10/81;MC;CAJ
2/20/1;DI;DI
2/20/2;DI;DI
2/30/1;DI;DI
2/30/2;DI;DI
3/0/1;DI;DI
3/0/2;DI;DI
3/0/3;DI;DI
3/0/4;DI;DI
3/0/5;DI;DI
3/10/1;MC;MC
3/10/2;MC;MS
3/10/3;MC;AAJ
3/20/1;MC;MC
3/20/2;MC;MC
